proton_density,proton_bulk_speed,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,alpha_density,alpha_bulk_speed,alpha_thermal,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos,source_file,cme_t0
3.2400171644463303,439.1239163390194,-439.1239163390194,115.67619166897747,-96.56291495299696,87.71326780388794,0.06558217877262261,430.0022279982966,59.78838372230331,1330556.9584664244,654927.116479392,-6152.244646080549,AL1_ASW91_L2_BLK_20250131_UNP_9999_999999_V02.cdf,2025-01-31 23:24:00
4.691429131954693,396.8975091920658,-396.8975091920658,20.096191125673666,-57.51517727667778,57.045862190096045,0.1764765275185356,396.10474302469805,45.65326444826581,1328847.3209174627,653094.7703708429,-7305.4774039554295,AL1_ASW91_L2_BLK_20250131_UNP_9999_999999_V02.cdf,2025-01-31 17:00:00
4.691429131954693,396.8975091920658,-396.8975091920658,20.096191125673666,-57.51517727667778,57.045862190096045,0.1764765275185356,396.10474302469805,45.65326444826581,1328847.3209174627,653094.7703708429,-7305.4774039554295,AL1_ASW91_L2_BLK_20250131_UNP_9999_999999_V02.cdf,2025-01-31 17:00:00
7.317235898069672,376.95351320628953,-376.95351320628953,9.6048943821562,-54.232205786963895,57.3650245882695,0.1825568716687818,373.3453148277267,50.58154543732645,1328153.0400253022,652330.7730328364,-7773.634005608231,AL1_ASW91_L2_BLK_20250131_UNP_9999_999999_V02.cdf,2025-01-31 14:24:00
7.317235898069672,376.95351320628953,-376.95351320628953,9.6048943821562,-54.232205786963895,57.3650245882695,0.1825568716687818,373.3453148277267,50.58154543732645,1328153.0400253022,652330.7730328364,-7773.634005608231,AL1_ASW91_L2_BLK_20250131_UNP_9999_999999_V02.cdf,2025-01-31 14:24:00
7.751293230581655,352.10145073995795,-352.10145073995795,5.890370602829818,-38.05048423027028,46.275058865594254,0.10436835745767913,349.7005084942255,31.343691192017918,1324687.6406644168,648348.8413711305,-10107.860830101039,AL1_ASW91_L2_BLK_20250131_UNP_9999_999999_V02.cdf,2025-01-31 01:25:00
,,,,,,,,,,,,,2025-01-30 18:36:00
,,,,,,,,,,,,,2025-01-30 18:24:00
,,,,,,,,,,,,,2025-01-30 16:24:00
,,,,,,,,,,,,,2025-01-30 16:00:00
,,,,,,,,,,,,,2025-01-30 11:12:00
9.540679908390418,356.2620928147262,-356.2620928147262,-3.000332560406551,-23.784319793388477,33.90615830725569,0.20079531416478755,354.6108192725251,28.085010199884504,1317788.7324603626,639586.3901928166,-14765.84842275543,AL1_ASW91_L2_BLK_20250129_UNP_9999_999999_V02.cdf,2025-01-29 23:24:00
7.807298764172544,322.04699146573586,-322.04699146573586,-1.9438062465515749,-13.703085147926645,34.954357547286584,0.17644018400236317,322.47131667166315,23.75206691034556,1316587.435068663,637939.0393905534,-15590.452082348527,AL1_ASW91_L2_BLK_20250129_UNP_9999_999999_V02.cdf,2025-01-29 18:48:00
6.418541922214307,324.99989325888345,-324.99989325888345,6.746526576066381,-23.20143491654518,43.96795354930892,0.10314321348999615,324.3140040047262,36.64231312300198,1316004.2754131772,637127.8835589205,-15990.319785118916,AL1_ASW91_L2_BLK_20250129_UNP_9999_999999_V02.cdf,2025-01-29 16:34:00
4.229065313956185,445.1990884292398,-445.1990884292398,3.160547442299151,-22.129551572375124,54.44604264997974,0.10902257806320921,445.4887821051577,51.6747533874426,1312985.308047795,632810.0061247661,-18055.903581765237,AL1_ASW91_L2_BLK_20250129_UNP_9999_999999_V02.cdf,2025-01-29 05:00:00
6.570176279218913,316.66614143377706,-316.66614143377706,5.021726791252152,-23.142358711077758,32.94969701471271,0.10462789908493096,314.08565135915234,19.700814075070614,1311576.9405971614,630728.2738954821,-19016.97196597919,AL1_ASW91_L2_BLK_20250128_UNP_9999_999999_V02.cdf,2025-01-28 23:36:00
5.688058092688429,401.0893831063359,-401.0893831063359,13.608984470845876,-29.47327810695049,48.48011912449258,0.1262040124018352,401.13273523930116,39.92309419641704,1310794.9161906454,629553.9590392434,-19549.949661881128,AL1_ASW91_L2_BLK_20250128_UNP_9999_999999_V02.cdf,2025-01-28 20:36:00
7.326262253836922,388.10380718459754,-388.10380718459754,20.379347257696523,-32.40871217125177,49.78846869258711,0.11650957696408677,387.480913503169,44.072130179747376,1310586.4316687451,629238.6794158499,-19691.9598264181,AL1_ASW91_L2_BLK_20250128_UNP_9999_999999_V02.cdf,2025-01-28 19:48:00
5.521198338862305,418.90607216071606,-418.90607216071606,28.55353729657023,-37.54725172661342,51.92522557857342,0.12709188488653592,416.61084365149304,51.98300024415337,1310065.330590091,628446.5791058912,-20046.766243906928,AL1_ASW91_L2_BLK_20250128_UNP_9999_999999_V02.cdf,2025-01-28 17:48:00
7.341021599273169,335.848822256833,-335.848822256833,-1.4273366191761607,-43.477300655263925,38.32612674951154,0.13495244500894674,334.9707481231083,23.654427340992537,1309544.758936831,627649.4856875082,-20401.01012994025,AL1_ASW91_L2_BLK_20250128_UNP_9999_999999_V02.cdf,2025-01-28 15:48:00
4.766969697714953,394.5837748830691,-394.5837748830691,0.03172717618414526,-34.38235074115948,51.433772188187184,0.11214125275270272,394.0452106121784,46.83048225705348,1309388.513570284,627409.114537944,-20507.29479430671,AL1_ASW91_L2_BLK_20250128_UNP_9999_999999_V02.cdf,2025-01-28 15:12:00
